timestamp,modelo,n_factores,n_epocas,learning_rate,regularizacion,embedding_dim,batch_size,k_vecinos,neg_samples,min_ratings_user,min_ratings_item,hidden_layers,MAE,RMSE,NDCG_10,Precision_10,Recall_10,Hit_Rate_10,Coverage_10,MRR_10,train_time_s,dataset_size,notas
2026-04-25 19:06:44,TestCSV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.0,NA,NA,NA,1.5,100,Test unitario
2026-04-25 23:16:16,TestCSV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.0,NA,NA,NA,1.5,100,Test unitario
2026-04-25 23:17:53,TestCSV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.0,NA,NA,NA,1.5,100,Test unitario
2026-04-29 09:00:40,NCF,NA,5,0.001,NA,32,4096,NA,4,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,6699.65,18290142,Modelo de ranking (BCE pairwise). MAE/RMSE no aplican directamente.
2026-04-29 11:26:42,SVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307049,0.286333,0.043554,0.893333,0.062427,0.602193,NA,25769933,"Evaluación ranking K=10, 300 usuarios test"
2026-04-29 11:26:42,KNN Clásico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.350753,0.338333,0.049293,0.866667,0.036833,0.608984,NA,25769933,"Evaluación ranking K=10, 300 usuarios test"
2026-04-29 11:26:42,Wide&Deep (Red Neuronal),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.591131,0.607667,0.091866,0.98,0.014616,0.86306,NA,25769933,"Evaluación ranking K=10, 300 usuarios test"
2026-04-29 11:26:43,Recomendación Basada en la Trama (TF-IDF),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018089,0.015333,0.001807,0.126667,0.120177,0.059966,NA,25769933,"Evaluación ranking K=10, 300 usuarios test"
2026-04-29 11:26:43,Filtrado Implícito (BPR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.335687,0.335,0.049058,0.906667,0.13895,0.625799,NA,25769933,"Evaluación ranking K=10, 300 usuarios test"
2026-04-29 11:26:43,Red Neuronal NCF-Lite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.801269,0.851,0.131132,1.0,0.054632,0.987778,NA,25769933,"Evaluación ranking K=10, 300 usuarios test"
2026-04-29 11:26:44,Two-Towers Bi-Encoder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020677,0.025667,0.004173,0.183333,0.011953,0.049503,NA,25769933,"Evaluación ranking K=10, 300 usuarios test"
