Modelo,PrecisionAtK,RecallAtK,HitRateAtK,NDCGAtK,CoverageAtK,MRRAtK
SVD,0.28633333333333333,0.04355351131140318,0.8933333333333333,0.30704893011326617,0.06242691957905677,0.6021931216931218
KNN Clásico,0.33833333333333326,0.04929260817744276,0.8666666666666667,0.35075347020006914,0.03683253215538521,0.6089841269841272
Wide&Deep (Red Neuronal),0.6076666666666665,0.09186572021037445,0.98,0.5911305197901744,0.014616084188644926,0.8630595238095237
Recomendación Basada en la Trama (TF-IDF),0.015333333333333329,0.0018067759539304085,0.12666666666666668,0.018089480272123325,0.12017669221774717,0.05996560846560846
Filtrado Implícito (BPR),0.33499999999999974,0.04905841730647114,0.9066666666666666,0.3356869301563525,0.13895024035338444,0.6257989417989418
Red Neuronal NCF-Lite,0.8510000000000009,0.13113223207909014,1.0,0.801268566472561,0.054631674678446145,0.9877777777777778
Two-Towers Bi-Encoder,0.025666666666666657,0.004172669368090092,0.18333333333333332,0.020676708001577792,0.011952708847602963,0.04950264550264547
SVD + Cosine Similarity (TX),0.13812709030100348,0.015426917071816659,0.6254180602006689,0.14008496737765894,0.13589710276731193,0.3206999522216916
