adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
False,/n7TzL82Fovrqe7LE5Yj4v5tPJ9f.jpg,[80],48287,['CN'],zh,黑洞,,4.4331,/sulLWyaZVyGE7exyGUe3ZN0YlOc.jpg,2001-09-17,黑洞,7.0,3
False,/wTbeBbqbRvUKLs2cYwbqXiTOpHW.jpg,"[16, 10765, 10759]",45154,['JP'],ja,マジンカイザー,"OVA de 8 episodios. En una de sus batallas épicas, el Equipo de Mazinger sufre una aplastante derrota a manos del Dr. Infierno y sus secuaces después de Mazinger Z es robado y su piloto, el legendario Kouji Kabuto, ha desaparecido en acción. Justo cuando el segundo al mando del Dr. Infierno, el Baron Ashura, utiliza a Mazinger Z contra nuestros héroes, Kouji hace un regreso sorpresa en Mazinkaiser - un Mazinger totalmente nuevo con una armadura más pesada y ataques letales.",4.0739,/3byNcxPTE1fvi53tU54RY1HtKyI.jpg,2001-09-25,Mazinkaiser,6.4,7
False,/qtvs1zdPxbIPFbuOtaa0kY2WB5K.jpg,"[37, 16, 35]",62318,"['FR', 'CA']",fr,Les Nouvelles Aventures de Lucky Luke,"Las nuevas aventuras del cowboy solitario Lucky Luke, que se enfrenta a los malvados bandidos del Oeste.",4.0696,/wx0h7jK2XKGPMKyTZbQk7ZBhsWD.jpg,2001-09-16,Las nuevas aventuras de Lucky Luke,7.292,24
False,/qo4ZjB8fbGGat8O9w8ennNjLSBv.jpg,"[16, 10759, 10762, 10751]",27615,['US'],en,Heavy Gear,,3.8007,/zW8OXqm50z2BAh016H5Oj4m28MW.jpg,2001-09-22,Heavy Gear,7.5,4
False,/1t7dXhKGUZe5bvHXBrAKiIH56l3.jpg,"[10751, 16, 35, 10762]",7579,['US'],en,Sitting Ducks,"Bill es un pato que vive en la ciudad de Ducktown, este un día se hace amigo de un cocodrilo llamado Aldo, y estos van viviendo aventuras juntos siendo una pareja muy inusual ya que normalmente los cocodrilos se alimentan de los patos. Muchas de las aventuras de la pareja de amigos suceden en el scooter de Bill.",3.7004,/1uOFSZaMjUIohMNQKyd19UEPbb8.jpg,2001-09-13,Los patos astutos,6.6,7
False,,[35],3237,['US'],en,The Ellen Show,,3.6778,/iGzaGZYzSaEWGdkaan5N4MxYzy3.jpg,2001-09-24,The Ellen Show,6.0,12
False,/esaZRg9avaWZfompTKBCax163aP.jpg,[],109273,['HK'],cn,肥婆奶奶扭計媳,,3.5679,/8Ceqw3NVtPYXypebxyRwRJUx203.jpg,2001-09-10,肥婆奶奶扭計媳,0.0,0
False,/qxADr8ZzOgyn2wJAokBjv217J3X.jpg,[99],13579,['GB'],en,The Blue Planet,"Planeta Azul es la primera serie documental exhaustiva sobre la vida en los océanos del mundo. Los ocho episodios de cincuenta minutos de duración muestran en impresionantes e inéditas imágenes los seres que habitan las profundidades abisales, las poblaciones de las costas, los mamíferos marinos, la extraña fauna abisal, la influencia del clima, la influencia de la luna y las mareas y todo el sistema biológico que depende de los océanos del mundo y se desarrolla en ellos.",3.4029,/lNx4IC1yHGrqtwRl00Mn1014usy.jpg,2001-09-12,Planeta azul,8.4,377
False,/k1WJObhI6VnODgs2DFBudRNjpVi.jpg,[10764],25471,['NO'],no,Farmen,,3.251,/nRck0THGh1pLIadO1Xptwx4SfuF.jpg,2001-09-17,Farmen,7.5,2
False,,"[18, 10759]",3597,['US'],en,UC: Undercover,,3.2297000000000002,/ylqJy97U9NbkgD9G7Q5a6TZP8KS.jpg,2001-09-30,UC: Undercover,6.4,8
False,/33pL6Sku65zvobpDHRkm1YdAmZp.jpg,"[18, 10766]",158723,['PT'],pt,Filha do Mar,,3.2215,/4Iwr57qprrkTuJ9uTr1ZFPSWPmv.jpg,2001-09-03,Filha do Mar,5.0,1
False,/s0wpSTeamlh7ZJcNfXwStiGz0DO.jpg,"[10766, 18]",220984,['PT'],pt,Nunca Digas Adeus,,3.1389,/80sPodHMQp8Y1PSNShl88eeOgBn.jpg,2001-09-30,Nunca Digas Adeus,0.0,0
False,/nFqAR3WTYOk3zJ9BdMHDChr3I7T.jpg,[18],15183,['AU'],en,Always Greener,,3.1246,/h26BYTC1BQt4tUVlTzckSTAMU0A.jpg,2001-09-09,Always Greener,0.0,0
False,/A3z0aIrqJGWjPUY2PSKgH2EWoHl.jpg,"[16, 10762]",128817,['CN'],zh,小虎还乡,,2.9932,/spFeoWlBrzPyghnIVlFpNi7dH69.jpg,2001-09-01,小虎还乡,8.0,2
False,/zLw687bBn2urUdhfWCE9We87pNq.jpg,"[16, 35, 10759, 10751, 10762]",35104,"['CA', 'US']",en,Sagwa The Chinese Siamese Cat,,2.9638,/7EFeMmdmFEYEaFfitNXCB45CQWv.jpg,2001-09-03,Sagwa The Chinese Siamese Cat,7.1,14
False,/dtSeYMw6b7KobjUmBuLwE5FSf19.jpg,"[10759, 18, 10765]",12505,['US'],en,Wolf Lake,,2.8465,/41uZS2rBtgCMT53DRSnzvUCgO70.jpg,2001-09-19,Wolf Lake,7.708,24
False,/7WfQtiRAnMQQ1AB9cwXd38wyaPO.jpg,[18],229034,['KR'],ko,신화,,2.7843999999999998,/h5eWiiWha81Du56FzJGfxrAwPtG.jpg,2001-09-26,신화,0.0,0
False,/jHSOI9w4Aahgmr5SjqzBqZNHnTe.jpg,[],109547,['HK'],cn,公私戀事多,,2.7253,/xQMVahL1sTCOAUXgQDdpA3RrSkx.jpg,2001-09-17,公私戀事多,0.0,0
False,/zc8RNiAwkH3lVdzgZgONdXvvad.jpg,[16],94604,"['CA', 'FR']",fr,Nez de fer - Le chevalier mystère,,2.7074,/d2CuWbZcxnwdDCXlSvoXIN9VhTE.jpg,2001-09-05,Nez de fer - Le chevalier mystère,7.0,1
False,/7uvqjaoCWbP80UCismxCUmfEmjz.jpg,"[10766, 18]",217596,['PT'],pt,A Senhora das Águas,,2.6811,/kH13ltUvbE7XmQjCrV4B871JaCD.jpg,2001-09-03,A Senhora das Águas,0.0,0
False,/wVA9YbKbH7qbSpsESHoUXJVWRO0.jpg,"[80, 18, 9648]",6204,['GB'],en,Murphy's Law,,2.6206,/ujGg6IKiEoE5aqkddHepSWPfqXb.jpg,2001-09-24,Murphy's Law,7.7,16
False,/zYK14T4q4zeeFfvcFTZtEUuaF6l.jpg,[18],9816,['US'],en,The Education of Max Bickford,,2.5229,/bMEP24ueuIhIPv3Oil977XGVgvo.jpg,2001-09-23,The Education of Max Bickford,1.0,2
