tmdb_id,titulo,certificacion,espectadores_live,es_tendencia,es_popular
11370,Britain's Got Talent,,333,True,False
129500,Next Level Chef,TV-14,330,True,False
240459,Spartacus: House of Ashur,TV-MA,323,True,True
60603,The Curse of Oak Island,TV-PG,322,True,False
300054,BAKI-DOU: The Invincible Samurai,TV-MA,322,True,True
76331,Succession,TV-MA,319,True,False
4614,NCIS,TV-14,319,True,False
97951,Mayor of Kingstown,TV-MA,319,True,False
5920,The Mentalist,TV-14,316,True,False
73319,90 Day Fiancé: Before The 90 Days,TV-14,316,True,False
1420,New Girl,TV-14,312,True,False
4607,Lost,TV-14,311,True,False
259856,Salvador,,310,True,True
278043,You and I Are Polar Opposites,,307,True,True
34307,Shameless,TV-MA,305,True,False
71728,Young Sheldon,TV-PG,304,True,False
76479,The Boys,TV-MA,303,True,False
62650,Chicago Med,TV-14,301,True,False
103540,Percy Jackson and the Olympians,TV-PG,297,True,False
229858,Fate/strange Fake,TV-14,297,True,False
81144,The Neighborhood,TV-PG,292,True,False
655,Star Trek: The Next Generation,TV-PG,288,True,False
115465,Gold Rush: Mine Rescue with Freddy and Juan,TV-14,287,True,False
71712,The Good Doctor,TV-14,283,True,False
63639,The Expanse,TV-14,281,True,False
93740,Foundation,TV-MA,281,True,False
18347,Community,TV-14,278,True,False
254318,Going Dutch,TV-14,278,True,False
111803,The White Lotus,TV-MA,274,True,False
246386,All Her Fault,TV-MA,274,True,True
136315,The Bear,TV-MA,273,True,False
71912,The Witcher,TV-MA,272,True,False
2122,King of the Hill,TV-PG,271,True,False
285166,"Jack-of-All-Trades, Party of None",TV-14,270,True,True
296579,Stumble,TV-14,268,True,True
1422,The Middle,TV-PG,266,True,False
37680,Suits,TV-14,265,True,False
100088,The Last of Us,TV-MA,265,True,False
1407,Homeland,TV-MA,263,True,False
125988,Silo,TV-MA,263,True,False
4604,Smallville,TV-14,263,True,False
1104,Mad Men,TV-14,262,True,False
60573,Silicon Valley,TV-MA,261,True,False
65930,My Hero Academia,TV-14,261,True,False
60572,Pokémon,TV-Y7,256,True,False
15260,Adventure Time,TV-PG,255,True,False
77631,The Great Pottery Throw Down,TV-14,254,True,False
107113,Only Murders in the Building,TV-MA,252,True,False
4775,Would I Lie to You?,NR,250,True,False
60622,Fargo,TV-MA,248,True,False
85552,Euphoria,TV-MA,248,True,False
56570,Outlander,TV-MA,245,True,False
18165,The Vampire Diaries,TV-14,243,True,False
125506,Below Deck Down Under,TV-14,243,True,False
270572,Lord of the Flies,,243,True,True
1411,Person of Interest,TV-14,238,True,False
1911,Bones,TV-14,238,True,False
4586,Gilmore Girls,TV-14,236,True,False
1855,Star Trek: Voyager,TV-PG,232,True,False
387,SpongeBob SquarePants,TV-Y7,229,True,False
70523,Dark,TV-MA,227,True,False
312428,Neighbors,TV-MA,225,True,True
62560,Mr. Robot,TV-MA,223,True,False
1705,Fringe,TV-14,223,True,False
57532,PAW Patrol,TV-Y,223,True,False
90282,The Morning Show,TV-MA,222,True,False
200875,IT: Welcome to Derry,TV-MA,222,True,True
62649,Superstore,TV-14,220,True,False
66025,Animal Kingdom,TV-MA,219,True,False
223911,Renegade Immortal,TV-14,219,True,False
233815,House of Villains,TV-14,219,True,False
4546,Curb Your Enthusiasm,TV-MA,216,True,False
4588,ER,TV-14,216,True,False
69478,The Handmaid's Tale,TV-MA,215,True,False
218961,Drops of God,TV-MA,215,True,False
312423,Reality Check: Inside America's Next Top Model,TV-MA,214,True,True
261507,Have I Got News for You,,210,True,False
82596,Emily in Paris,TV-MA,208,True,False
46648,True Detective,TV-MA,207,True,False
103516,Star Trek: Strange New Worlds,TV-PG,207,True,False
274776,Unfamiliar,TV-MA,207,True,True
693,Desperate Housewives,TV-14,206,True,False
215307,The Traitors,TV-MA,206,True,False
262273,Being Gordon Ramsay,,206,True,True
1419,Castle,TV-14,205,True,False
289567,DMV,TV-PG,205,True,True
253476,Journal with Witch,TV-14,201,True,True
39340,2 Broke Girls,TV-14,200,True,False
4238,The King of Queens,TV-PG,200,True,False
3452,Frasier,TV-PG,199,True,False
95557,Invincible,TV-MA,198,True,False
108978,Reacher,TV-MA,197,True,False
126506,Smiling Friends,TV-MA,197,True,False
57243,Doctor Who,TV-PG,196,True,False
